knob,severity,cell_label,rep,pc_seed,phe_seed,failed,spearman,max_abs_err,mean_abs_err,anchor_slope,anchor_r2
phe_re_sd,0.5,phe_re_sd=0.5,5,30010,30011,False,1.0,0.03100375651732923,0.007359286126957197,-1.0632784957006287,0.9980877667347626
phe_re_sd,0.5,phe_re_sd=0.5,6,30012,30013,False,1.0,0.02468209496974294,0.003943804246737466,-1.0076950877340185,0.9964822191010445
phe_re_sd,0.5,phe_re_sd=0.5,7,30014,30015,False,1.0,0.02260528590253763,0.005573295645389952,-1.0443862278663072,0.9972782931108167
phe_re_sd,0.5,phe_re_sd=0.5,8,30016,30017,False,1.0,0.015019329105968315,0.005705167306131798,-1.014579339608964,0.9974548646072736
phe_re_sd,0.5,phe_re_sd=0.5,9,30018,30019,False,1.0,0.015073616062140971,0.00578426974164412,-0.9785810484986426,0.9988427245405778
phe_re_sd,0.5,phe_re_sd=0.5,10,30020,30021,False,1.0,0.01645675251762435,0.0048151553223584114,-1.0170633683295958,0.9939785372403994
phe_re_sd,0.5,phe_re_sd=0.5,11,30022,30023,False,1.0,0.012898915985921688,0.0049516125535063035,-1.0356379052533475,0.9955830835859618
phe_re_sd,0.5,phe_re_sd=0.5,12,30024,30025,False,1.0,0.015114866166162866,0.003951497045790499,-1.0267269258978096,0.9985812796966465
phe_re_sd,0.5,phe_re_sd=0.5,13,30026,30027,False,1.0,0.019957291569685953,0.006867926864576572,-1.0301483841877075,0.9966673790276799
phe_re_sd,0.5,phe_re_sd=0.5,14,30028,30029,False,1.0,0.015196073086432005,0.004817871068539711,-1.052126311846153,0.9983623657810407
phe_re_sd,1.0,phe_re_sd=1.0,0,40000,40001,False,1.0,0.02822009817561255,0.009359012266600842,-0.9576341676144826,0.9979575264264312
phe_re_sd,1.0,phe_re_sd=1.0,1,40002,40003,False,1.0,0.02033543992763623,0.005185298737616631,-0.9994138245344367,0.9989948613301711
phe_re_sd,1.0,phe_re_sd=1.0,2,40004,40005,False,1.0,0.02113108922262108,0.006100836919202456,-0.9612850043823692,0.9957596626030649
phe_re_sd,1.0,phe_re_sd=1.0,3,40006,40007,False,1.0,0.018472279404554093,0.006567754329846237,-1.0046488644653393,0.9942325797328495
phe_re_sd,1.0,phe_re_sd=1.0,4,40008,40009,False,1.0,0.022325886112069426,0.005425490373966063,-0.9572503748098182,0.9937707253926378
phe_re_sd,1.0,phe_re_sd=1.0,5,40010,40011,False,1.0,0.011762821874842344,0.0034591817861758323,-1.0096667442934097,0.9989126264058152
phe_re_sd,1.0,phe_re_sd=1.0,6,40012,40013,False,1.0,0.015501000445253765,0.00383573490816037,-1.0108933021349693,0.9943333841084058
phe_re_sd,1.0,phe_re_sd=1.0,7,40014,40015,False,1.0,0.020053803377922397,0.004919152804858243,-1.0410849139917593,0.999280567368942
phe_re_sd,1.0,phe_re_sd=1.0,8,40016,40017,False,1.0,0.01958726524488208,0.006688914138303054,-1.026493279531596,0.9972668409991291
phe_re_sd,1.0,phe_re_sd=1.0,9,40018,40019,False,1.0,0.033516864820379466,0.008131718308247278,-0.9838020664564895,0.9976265679507235
phe_re_sd,1.0,phe_re_sd=1.0,10,40020,40021,False,1.0,0.020493684073770058,0.0061727795794928614,-0.9608781012516842,0.9987239029326052
phe_re_sd,1.0,phe_re_sd=1.0,11,40022,40023,False,1.0,0.025687059701308246,0.004869489143277192,-1.038538638305276,0.9964280370784198
phe_re_sd,1.0,phe_re_sd=1.0,12,40024,40025,False,1.0,0.012372453247541493,0.003292115795931763,-0.9964487318013365,0.997686702883019
phe_re_sd,1.0,phe_re_sd=1.0,13,40026,40027,False,1.0,0.01804926405665408,0.005201570807077105,-0.9812351530507991,0.9960510617491861
phe_re_sd,1.0,phe_re_sd=1.0,14,40028,40029,False,1.0,0.024332743781737554,0.008083389821277803,-0.9532716920717357,0.9937842151023583
pc_lapse_rate,0.05,pc_lapse=0.05,0,50000,50001,False,1.0,0.027716814630365405,0.009557426692576105,-0.5189538413876529,0.9988372097934888
pc_lapse_rate,0.05,pc_lapse=0.05,1,50002,50003,False,1.0,0.022014820110885736,0.0060553688948559985,-0.5232436689854005,0.9964790183635032
pc_lapse_rate,0.05,pc_lapse=0.05,2,50004,50005,False,1.0,0.019580493893323614,0.006036835015848956,-0.5181516349235573,0.9946775613930996
pc_lapse_rate,0.05,pc_lapse=0.05,3,50006,50007,False,1.0,0.01508733938021295,0.0062813048757915865,-0.522534789235586,0.9973412406151028
pc_lapse_rate,0.05,pc_lapse=0.05,4,50008,50009,False,1.0,0.02891268602118735,0.008968087873957756,-0.5113243915877765,0.9971958318137919
pc_lapse_rate,0.05,pc_lapse=0.05,5,50010,50011,False,1.0,0.03463540529230047,0.009382118890527504,-0.4936312109850286,0.995948954108303
pc_lapse_rate,0.05,pc_lapse=0.05,6,50012,50013,False,1.0,0.04631150153236263,0.013764992528073578,-0.4957805696252336,0.992151190026645
pc_lapse_rate,0.05,pc_lapse=0.05,7,50014,50015,False,1.0,0.023225823415213898,0.007394425603157314,-0.5558521780707498,0.9961307986543297
pc_lapse_rate,0.05,pc_lapse=0.05,8,50016,50017,False,1.0,0.01973257766033587,0.005639563566566122,-0.5153354992106532,0.9987582442248324
pc_lapse_rate,0.05,pc_lapse=0.05,9,50018,50019,False,1.0,0.026697580867875548,0.008356928317966717,-0.5147733998289484,0.9943331468427782
pc_lapse_rate,0.05,pc_lapse=0.05,10,50020,50021,False,1.0,0.015564026418358745,0.006217453792427623,-0.5286764170407992,0.9944318209884203
pc_lapse_rate,0.05,pc_lapse=0.05,11,50022,50023,False,1.0,0.026561498646841653,0.009677690941139261,-0.49757066133820227,0.9917525643857584
pc_lapse_rate,0.05,pc_lapse=0.05,12,50024,50025,False,1.0,0.026655569385214184,0.007619909089961993,-0.51770655004361,0.9931459882726303
pc_lapse_rate,0.05,pc_lapse=0.05,13,50026,50027,False,1.0,0.022534379990730713,0.009946229183884839,-0.5179941734689366,0.9863319464761109
pc_lapse_rate,0.05,pc_lapse=0.05,14,50028,50029,False,1.0,0.023752125662999335,0.006796790017924911,-0.544272773165655,0.9965869977367983
pc_lapse_rate,0.15,pc_lapse=0.15,0,60000,60001,False,1.0,0.05047752660825933,0.012572485518268344,-0.3221856936368428,0.9928550485831193
pc_lapse_rate,0.15,pc_lapse=0.15,1,60002,60003,False,1.0,0.035933083766251483,0.00898139251277743,-0.3515633685132088,0.9978981701878488
pc_lapse_rate,0.15,pc_lapse=0.15,2,60004,60005,False,1.0,0.032060544299294724,0.008736624460523298,-0.3434760234416776,0.9957116196593943
pc_lapse_rate,0.15,pc_lapse=0.15,3,60006,60007,False,1.0,0.033858628310592276,0.009892253939082827,-0.33129865049707363,0.9988017406773457
pc_lapse_rate,0.15,pc_lapse=0.15,4,60008,60009,False,1.0,0.02488187607027814,0.006444985844719903,-0.3625759283866226,0.9967846541604773
pc_lapse_rate,0.15,pc_lapse=0.15,5,60010,60011,False,1.0,0.02202419998690114,0.005057996724996187,-0.34686428952816917,0.9923051552153619
pc_lapse_rate,0.15,pc_lapse=0.15,6,60012,60013,False,1.0,0.033446082185415116,0.006725335710576577,-0.3482232158507969,0.9972348326067576
pc_lapse_rate,0.15,pc_lapse=0.15,7,60014,60015,False,1.0,0.02650384727016941,0.0052312322943549655,-0.34968416784171114,0.9969309241553138
pc_lapse_rate,0.15,pc_lapse=0.15,8,60016,60017,False,1.0,0.04137942901988634,0.009974729656827105,-0.33340362000750823,0.9950675153014604
