state,true_dw,mean_point_dw,mean_boot_se,coverage_percentile,coverage_normal,n_mc_used
s000,0.005000000000000001,0.005737478314873137,0.0015166899668006655,0.8833333333333333,0.9166666666666666,60
s001,0.016040242457021566,0.017552635556851295,0.00328407522023616,0.9,0.9333333333333333,60
s002,0.050227311989595555,0.053192468400956164,0.006160758022721421,0.9166666666666666,0.9333333333333333,60
s003,0.14643460725838425,0.15107388971712365,0.011668190563515108,0.95,0.9666666666666667,60
s004,0.35754796230026903,0.36331277795393124,0.020496593788949618,0.8833333333333333,0.8833333333333333,60
s005,0.6435481982983441,0.6376708244834627,0.024109426667333844,0.9333333333333333,0.9333333333333333,60
s006,0.8541612502186625,0.8481904884284387,0.018208192203542927,0.95,0.9666666666666667,60
s007,0.9499999999999998,0.9470101428344517,0.010808480196196743,0.9166666666666666,0.95,60
MEAN,,,,0.9166666666666667,0.9354166666666667,60
