seed,state,true_dw,true_decile,est_dw,err,abs_err,logit_err,logit_abserr,in_anchor_set,pc_respondents,phe_respondents,anchor_slope,anchor_r2,n_shared,wall_clock_s
0,s000,0.0030000000000000014,1,0.0026059084154405584,-0.000394091584559443,0.000394091584559443,-0.14122615362792423,0.14122615362792423,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s001,0.0031219161778481435,1,0.0033659827905603294,0.00024406661271218592,0.00024406661271218592,0.07551787108948993,0.07551787108948993,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s002,0.0032487707293095565,1,0.0030390145547891066,-0.00020975617452044992,0.00020975617452044992,-0.06695380210418822,0.06695380210418822,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s003,0.0033807623512267402,1,0.0026040206342460713,-0.0007767417169806689,0.0007767417169806689,-0.2618236564383576,0.2618236564383576,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s004,0.0035180976241367796,1,0.0030006536605457572,-0.0005174439635910223,0.0005174439635910223,-0.1596093800788534,0.1596093800788534,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s005,0.0036609913158666702,1,0.0031089205525395114,-0.0005520707633271589,0.0005520707633271589,-0.1640123312029882,0.1640123312029882,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s006,0.003809666696051363,1,0.003779307754406349,-3.0358941645013994e-05,3.0358941645013994e-05,-0.008031319432056705,0.008031319432056705,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s007,0.003964355861902294,1,0.0034531033310205767,-0.0005112525308817169,0.0005112525308817169,-0.13858319861384416,0.13858319861384416,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s008,0.004125300075558041,1,0.003468272348267186,-0.0006570277272908548,0.0006570277272908548,-0.1741417069527431,0.1741417069527431,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s009,0.0042927501133521945,1,0.0038101712545353193,-0.00048257885881687525,0.00048257885881687525,-0.11973798476289321,0.11973798476289321,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s010,0.004466966627336397,1,0.003963309126167057,-0.0005036575011693406,0.0005036575011693406,-0.12013604665569488,0.12013604665569488,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s011,0.004648220519398493,1,0.00459584176336059,-5.2378756037902915e-05,5.2378756037902915e-05,-0.011385154147264487,0.011385154147264487,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s012,0.004836793328316949,1,0.004619577413050024,-0.0002172159152669254,0.0002172159152669254,-0.04616698164224964,0.04616698164224964,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s013,0.005032977630093196,1,0.004943457511281188,-8.952011881200803e-05,8.952011881200803e-05,-0.018036764588620358,0.018036764588620358,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s014,0.005237077451902622,1,0.005701283035534532,0.0004642055836319098,0.0004642055836319098,0.0853943972892166,0.0853943972892166,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s015,0.005449408700003343,1,0.0047663380518025355,-0.0006830706482008073,0.0006830706482008073,-0.13461537896349984,0.13461537896349984,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s016,0.005670299601938639,1,0.005234037969158916,-0.000436261632779723,0.000436261632779723,-0.08049755103229028,0.08049755103229028,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s017,0.005900091163364447,1,0.0053093261577827,-0.0005907650055817469,0.0005907650055817469,-0.10609697036556831,0.10609697036556831,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s018,0.006139137639827404,1,0.005539480211462323,-0.0005996574283650812,0.0005996574283650812,-0.10338679064254475,0.10338679064254475,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s019,0.0063878070238109486,1,0.005741559633929875,-0.0006462473898810736,0.0006462473898810736,-0.10731032468521917,0.10731032468521917,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s020,0.006646481547357599,1,0.005781393849882164,-0.0008650876974754347,0.0008650876974754347,-0.14031331688220572,0.14031331688220572,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s021,0.006915558200563664,1,0.00584517346773467,-0.0010703847328289943,0.0010703847328289943,-0.16923467068980003,0.16923467068980003,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s022,0.00719544926622873,2,0.006699982652366398,-0.0004954666138623316,0.0004954666138623316,-0.07184277571425213,0.07184277571425213,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
0,s023,0.007486582870925904,2,0.00668211159999434,-0.0008044712709315638,0.0008044712709315638,-0.11448863366737783,0.11448863366737783,False,14000,4000,-0.9913325366611108,0.9941825786086689,30,139.68
